id,password,is_superuser,username,is_staff,is_active,user_type,first_name,last_name,nick_name
917,pbkdf2_sha256$390000$A7KTHDitrDI7i4qRHRcieu$vVvIP3Sd5gwM/QrZeVEduAhQY7ZTZJRMfpnccYxp/J8=,FALSE,W7,FALSE,TRUE,oc,W7,W7,
918,pbkdf2_sha256$390000$VaTBzxdol1a6srolTNSzuS$2Oo3c90mDfDqH97MvToGq/bPMJDdNNk6FChakb+26YM=,FALSE,W8,FALSE,TRUE,oc,W8,W8,
919,pbkdf2_sha256$390000$LR2NGEg5zb3fa3VtoriOAP$J8/SxLNjzpeKqZMxgpEepgydj4a2tsiSxH/RYc4GDLA=,FALSE,W9,FALSE,TRUE,oc,W9,W9,
920,pbkdf2_sha256$390000$T9yL91vQMWX5N85Egn0IoI$EmPhnQGQtUyJT+rgibQ55erP+sQui9LPyCORMGEWFkw=,FALSE,W10,FALSE,TRUE,oc,W10,W10,
921,pbkdf2_sha256$390000$tWGYo0xt6PJIT1XtpXJu8u$V6XKdQOypPiZC7b4rBL+jW3Zyoh/JgYceXnZzT1zJo4=,FALSE,E1,FALSE,TRUE,oc,E1,E1,
922,pbkdf2_sha256$390000$M84yT146LJ6znM814dkR6a$Ms0vn2ek+lebr+3u5xDSmE6GvrJVkXOtoaB1XT1hLag=,FALSE,E2,FALSE,TRUE,oc,E2,E2,
923,pbkdf2_sha256$390000$dekiemxXFVW0EakQgqhLNG$podbey7nbI/2bYV4x+KfiJpgGn9TZ87zRP9Rt/GlnCA=,FALSE,E3,FALSE,TRUE,oc,E3,E3,
924,pbkdf2_sha256$390000$HpNlrKCaMpOvZx9shysHiv$g3+QTbUZ0c6/XFzY5aYFh+4aXQFVc2zyUmxdvCchdiM=,FALSE,E4,FALSE,TRUE,oc,E4,E4,
925,pbkdf2_sha256$390000$vMBP1Of5QZVDMN3ZrRommW$nE7thnyLjE1U91MyL4ao3aSVT59XijQaw2Jr9RBBZOo=,FALSE,E5,FALSE,TRUE,oc,E5,E5,
926,pbkdf2_sha256$390000$MD5GbM5Tq7pfYQF92Wgzv3$+pHSj5iM+kLylpaT+mUrVunH9hs/UvGjWx+X/NVb7B4=,FALSE,E6,FALSE,TRUE,oc,E6,E6,
927,pbkdf2_sha256$390000$Em4gisGKjmdh9LSjA119CH$xbmCNoPtcuJ+E7vHC62ZTp5eT44Y41EpPbe0JkwQ31k=,FALSE,C1,FALSE,TRUE,oc,C1,C1,
928,pbkdf2_sha256$390000$ygkqSnIEoUGsNnbhpfRGBZ$DC5K177kxtgwp04dHAnMABnL3OxMvgTNu5SmT7i22ok=,FALSE,C2,FALSE,TRUE,oc,C2,C2,
929,pbkdf2_sha256$390000$VPDXlp6kM6KXncLHkZEJEL$iwYRdy8nAmPjmOpM8RU+30L0qtyrFh/ht8aPFvhrkbM=,FALSE,C3,FALSE,TRUE,oc,C3,C3,
930,pbkdf2_sha256$390000$yQC7c7e9RZRczS62f1wUHT$1tQoPOCWwGCXAOexsPnOgVIeLetOPdoOF4XdyrTWFWk=,FALSE,C4,FALSE,TRUE,oc,C4,C4,
931,pbkdf2_sha256$390000$GRoLnIkLjrHfhgCcIbJpqe$9A+q3nlP7tBowoiRZXnrNI/C2At2OWNlkmO9PND0zMQ=,FALSE,C5,FALSE,TRUE,oc,C5,C5,
932,pbkdf2_sha256$390000$syNksNhNfbuVlMjdeN2HWA$tK+uIMQuukSEkLPHyhMZ0InpoP78+x6dnD9nS9NaHOk=,FALSE,C6,FALSE,TRUE,oc,C6,C6,
933,pbkdf2_sha256$390000$6i8UD1WTVgK2zrDrSUK1kd$L9Lb5pq59V4z8kVk5tva3eA3A3x2ga6+S/dc2oxwx4M=,FALSE,C7,FALSE,TRUE,oc,C7,C7,
934,pbkdf2_sha256$390000$Idwo0Ivdy6LiAq2cdG0YS7$rxixOFkVll1w5k1Nj0UXDUO5q5Xpzbk3/mES4bbcooc=,FALSE,C8,FALSE,TRUE,oc,C8,C8,
935,pbkdf2_sha256$390000$oza14rZrGxNgFBmrQT6LL8$j+QRmLLzs6F/la0OZAG+sm858NS1twBuaBO0aojHfZ0=,FALSE,C9,FALSE,TRUE,oc,C9,C9,
936,pbkdf2_sha256$390000$K4gzQp5UTnrCBPW6z6IC4G$rEj1quVEs3kl+HNYphdUG+tItgviossFWoSNJPdfMkQ=,FALSE,C10,FALSE,TRUE,oc,C10,C10,
937,pbkdf2_sha256$390000$XRicKFcuB8dh2Sck8yUNr4$mQTp0scsSCHSNqBuNwUZzmWByapKcc/YTdCAkG2RXXs=,FALSE,R1,FALSE,TRUE,oc,R1,R1,
938,pbkdf2_sha256$390000$Tr4oLpulHJMw4kzLjK9LVf$WK9HPD3whf+oOYHqnitIsaQuT/4e8epL2I93SPNkBwo=,FALSE,R2,FALSE,TRUE,oc,R2,R2,
939,pbkdf2_sha256$390000$4K2XFCIJy9vBH6yIQEm0bu$jw6JAol5HXdPB5thg1IQa9OzrxPRW6zrTTZghRhNLps=,FALSE,R3,FALSE,TRUE,oc,R3,R3,
940,pbkdf2_sha256$390000$q4Qgn4bzxuzbqx4kjZEllU$7ahlSTcDzIm3Az4UCkXZgDfZacJziV21mxjxNlAoz5g=,FALSE,R4,FALSE,TRUE,oc,R4,R4,
941,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,R5,FALSE,TRUE,oc,R5,R5,
942,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,Z1,FALSE,TRUE,oc,Z1,Z1,
943,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,Z2,FALSE,TRUE,oc,Z2,Z2,
944,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,Z3,FALSE,TRUE,oc,Z3,Z3,
945,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,Z4,FALSE,TRUE,oc,Z4,Z4,
946,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,Z5,FALSE,TRUE,oc,Z5,Z5,
947,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,Z6,FALSE,TRUE,oc,Z6,Z6,
948,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,Z7,FALSE,TRUE,oc,Z7,Z7,
101,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_101,FALSE,TRUE,student,Player,1,
102,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_102,FALSE,TRUE,student,Player,2,
103,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_103,FALSE,TRUE,student,Player,3,
104,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_104,FALSE,TRUE,student,Player,4,
105,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_105,FALSE,TRUE,student,Player,5,
106,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_106,FALSE,TRUE,student,Player,6,
107,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_107,FALSE,TRUE,student,Player,7,
108,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_108,FALSE,TRUE,student,Player,8,
109,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_109,FALSE,TRUE,student,Player,9,
110,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_110,FALSE,TRUE,student,Player,10,
111,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_111,FALSE,TRUE,student,Player,11,
112,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_112,FALSE,TRUE,student,Player,12,
113,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_113,FALSE,TRUE,student,Player,13,
114,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_114,FALSE,TRUE,student,Player,14,
115,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_115,FALSE,TRUE,student,Player,15,
116,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_116,FALSE,TRUE,student,Player,16,
117,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_117,FALSE,TRUE,student,Player,17,
118,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_118,FALSE,TRUE,student,Player,18,
119,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_119,FALSE,TRUE,student,Player,19,
120,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_120,FALSE,TRUE,student,Player,20,
121,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_121,FALSE,TRUE,student,Player,21,
122,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_122,FALSE,TRUE,student,Player,22,
123,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_123,FALSE,TRUE,student,Player,23,
124,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_124,FALSE,TRUE,student,Player,24,
125,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_125,FALSE,TRUE,student,Player,25,
126,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_126,FALSE,TRUE,student,Player,26,
127,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_127,FALSE,TRUE,student,Player,27,
128,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_128,FALSE,TRUE,student,Player,28,
129,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_129,FALSE,TRUE,student,Player,29,
130,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_130,FALSE,TRUE,student,Player,30,
131,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_131,FALSE,TRUE,student,Player,31,
132,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_132,FALSE,TRUE,student,Player,32,
133,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_133,FALSE,TRUE,student,Player,33,
134,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_134,FALSE,TRUE,student,Player,34,
135,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_135,FALSE,TRUE,student,Player,35,
136,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_136,FALSE,TRUE,student,Player,36,
137,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_137,FALSE,TRUE,student,Player,37,
138,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_138,FALSE,TRUE,student,Player,38,
139,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_139,FALSE,TRUE,student,Player,39,
140,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_140,FALSE,TRUE,student,Player,40,
141,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_141,FALSE,TRUE,student,Player,41,
142,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_142,FALSE,TRUE,student,Player,42,
143,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_143,FALSE,TRUE,student,Player,43,
144,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_144,FALSE,TRUE,student,Player,44,
145,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_145,FALSE,TRUE,student,Player,45,
146,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_146,FALSE,TRUE,student,Player,46,
147,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_147,FALSE,TRUE,student,Player,47,
148,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_148,FALSE,TRUE,student,Player,48,
149,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_149,FALSE,TRUE,student,Player,49,
150,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_150,FALSE,TRUE,student,Player,50,
151,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_151,FALSE,TRUE,student,Player,51,
152,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_152,FALSE,TRUE,student,Player,52,
153,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_153,FALSE,TRUE,student,Player,53,
154,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_154,FALSE,TRUE,student,Player,54,
155,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_155,FALSE,TRUE,student,Player,55,
156,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_156,FALSE,TRUE,student,Player,56,
157,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_157,FALSE,TRUE,student,Player,57,
158,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_158,FALSE,TRUE,student,Player,58,
159,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_159,FALSE,TRUE,student,Player,59,
160,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_160,FALSE,TRUE,student,Player,60,
161,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_161,FALSE,TRUE,student,Player,61,
162,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_162,FALSE,TRUE,student,Player,62,
163,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_163,FALSE,TRUE,student,Player,63,
164,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_164,FALSE,TRUE,student,Player,64,
165,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_165,FALSE,TRUE,student,Player,65,
166,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_166,FALSE,TRUE,student,Player,66,
167,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_167,FALSE,TRUE,student,Player,67,
168,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_168,FALSE,TRUE,student,Player,68,
169,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_169,FALSE,TRUE,student,Player,69,
170,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_170,FALSE,TRUE,student,Player,70,
171,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_171,FALSE,TRUE,student,Player,71,
172,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_172,FALSE,TRUE,student,Player,72,
173,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_173,FALSE,TRUE,student,Player,73,
174,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_174,FALSE,TRUE,student,Player,74,
175,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_175,FALSE,TRUE,student,Player,75,
176,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_176,FALSE,TRUE,student,Player,76,
177,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_177,FALSE,TRUE,student,Player,77,
178,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_178,FALSE,TRUE,student,Player,78,
179,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_179,FALSE,TRUE,student,Player,79,
180,pbkdf2_sha256$390000$Rd0scfcAkVNSrZXBMvcreU$v+C2L91avAb0lQd8a4+xbwf6LQ5iywBqt/FB7sZdqu8=,FALSE,student_180,FALSE,TRUE,student,Player,80,
